Temperature,Density,Viscosity,VaporPressure,DynamicViscosity,Cp
C,g/cm^3,mm^2/s,kPa,Pa*s,J/mol/K
-9.55,0.77153,3.754358223,0.000626,0.0028966,359.85
0.45,0.76401,2.938704991,,0.0022452,364.29
6.85,,,0.00349,,
10.45,0.75653,2.376244167,,0.0017977,369.15
20.45,0.7491,1.970497931,,0.0014761,374.36
26.85,,,0.0208,,
30.45,0.7417,1.667520561,,0.0012368,379.87
40.45,0.73431,1.43495254,,0.0010537,385.64
46.85,,,0.0947,,
50.45,0.72692,1.252187311,,0.00091024,391.64
60.45,0.71953,1.105680097,,0.00079557,397.82
66.85,,,0.346,,
70.45,0.71212,0.986210189,,0.0007023,404.16
80.45,0.70468,0.887296361,,0.00062526,410.63
86.85,,,1.056,,
90.45,0.69719,0.804285776,,0.00056074,417.21
100.45,0.68966,0.733723864,,0.00050602,423.89
106.85,,,2.783,,
126.85,,,6.489,,
140,,,10.7,,