Temperature,Density,Viscosity,VaporPressure,DynamicViscosity
C,g/cm^3,mm^2/s,kPa,Pa*s
-29.65,0.76929,3.167726085,,0.0024369
-19.65,0.76138,2.503349182,0.00393,0.001906
-9.65,0.75352,2.038034823,0.00792,0.0015357
0.35,0.7457,1.698404184,0.02,0.0012665
10.35,0.73791,1.442452332,0.0466,0.0010644
20.35,0.73014,1.244487359,0.1014,0.00090865
30.35,0.72237,1.088015837,0.2071,0.00078595
40.35,0.71459,0.962062162,0.3998,0.00068748
50.35,0.7068,0.85901245,0.734,0.00060715
60.35,0.69898,0.77352714,1.288,0.00054068
70.35,0.69112,0.701716055,2.17,0.00048497
80.35,0.68321,0.640740036,3.524,0.00043776
90,,,5.534,
100,,,8.431,
110,,,12.495,
120,,,18.06,
,,,20.078,